@relation pac-man
@attribute ronda_tick NUMERIC
@attribute width NUMERIC
@attribute height NUMERIC
@attribute pmanPosX NUMERIC
@attribute pmanPosY NUMERIC
@attribute legalWest {None, West}
@attribute legalStop {None, Stop}
@attribute legalEast {None, East}
@attribute legalNorth {None, North}
@attribute legalSouth {None, South}
@attribute direction {Stop,West,East,North,South}
@attribute numAgents NUMERIC
@attribute livingG_0 {True,False}
@attribute livingG_1 {True,False}
@attribute livingG_2 {True,False}
@attribute livingG_3 {True,False}
@attribute livingG_4 {True,False}
@attribute g1posX NUMERIC
@attribute g1posY NUMERIC
@attribute g2posX NUMERIC
@attribute g2posY NUMERIC
@attribute g3posX NUMERIC
@attribute g3posY NUMERIC
@attribute g4posX NUMERIC
@attribute g4posY NUMERIC
@attribute g1dir {Stop,West,East,North,South}
@attribute g2dir {Stop,West,East,North,South}
@attribute g3dir {Stop,West,East,North,South}
@attribute g4dir {Stop,West,East,North,South}
@attribute g1dist NUMERIC
@attribute g2dist NUMERIC
@attribute g3dist NUMERIC
@attribute g4dist NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute score NUMERIC
@attribute scoreSiguiente NUMERIC
@attribute action {Stop,West,East,North,South}

@data
14,20,13,9,8,West,Stop,East,North,South,East,4,False,True,False,True,True,3,4,3,1,11,9,18,7,West,Stop,East,South,10,10,10,10,2,3,186,185,East
15,20,13,10,8,West,Stop,None,North,South,East,4,False,True,False,True,True,4,4,3,1,11,9,18,7,East,Stop,East,South,10,10,10,10,2,2,185,184,North
16,20,13,10,9,West,Stop,East,North,South,North,4,False,True,False,True,True,4,5,3,1,11,9,18,7,North,Stop,East,South,10,10,10,10,2,3,184,183,East
18,20,13,12,9,West,Stop,East,None,South,East,4,False,True,False,False,True,5,5,3,1,12,9,18,9,East,Stop,Stop,North,11,11,11,11,2,3,382,381,East
19,20,13,13,9,West,Stop,East,None,South,East,4,False,True,False,False,True,5,4,3,1,5,1,18,9,South,Stop,Stop,North,13,13,13,13,2,2,381,380,East
20,20,13,14,9,West,Stop,East,North,South,East,4,False,True,False,False,True,4,4,3,1,5,1,18,10,West,Stop,Stop,North,15,15,15,15,2,1,380,479,North
21,20,13,14,10,None,Stop,None,North,South,North,4,False,True,False,False,True,3,4,3,1,5,1,18,9,West,Stop,Stop,South,17,17,17,17,1,8,479,478,North
22,20,13,14,11,West,Stop,East,None,South,North,4,False,True,False,False,True,2,4,3,1,5,1,18,9,West,Stop,Stop,South,19,19,19,19,1,9,478,477,East
26,20,13,18,11,West,Stop,None,None,South,East,4,False,True,False,False,True,3,5,3,1,5,1,18,9,North,Stop,Stop,South,21,21,21,21,1,13,474,473,South
27,20,13,18,10,None,Stop,None,North,South,South,4,False,True,False,False,True,4,5,3,1,5,1,18,8,East,Stop,Stop,South,19,19,19,19,1,12,473,672,South
28,20,13,18,9,West,Stop,None,North,South,South,4,False,True,False,False,False,3,5,3,1,5,1,18,9,West,Stop,Stop,Stop,19,19,19,19,1,11,672,671,South
29,20,13,18,8,West,Stop,None,North,South,South,4,False,True,False,False,False,4,5,3,1,5,1,7,1,East,Stop,Stop,Stop,17,17,17,17,1,10,671,670,West
30,20,13,17,8,West,Stop,East,North,South,West,4,False,True,False,False,False,4,4,3,1,5,1,7,1,South,Stop,Stop,Stop,17,17,17,17,1,9,670,669,West
31,20,13,16,8,West,Stop,East,North,South,West,4,False,True,False,False,False,5,4,3,1,5,1,7,1,East,Stop,Stop,Stop,15,15,15,15,1,8,669,668,West
32,20,13,15,8,West,Stop,East,North,South,West,4,False,True,False,False,False,5,3,3,1,5,1,7,1,South,Stop,Stop,Stop,15,15,15,15,1,7,668,667,West
33,20,13,14,8,West,Stop,East,North,South,West,4,False,True,False,False,False,6,3,3,1,5,1,7,1,East,Stop,Stop,Stop,13,13,13,13,1,6,667,666,West
34,20,13,13,8,West,Stop,East,North,South,West,4,False,True,False,False,False,6,4,3,1,5,1,7,1,North,Stop,Stop,Stop,11,11,11,11,1,5,666,665,North
35,20,13,13,9,West,Stop,East,None,South,North,4,False,True,False,False,False,6,4,3,1,5,1,7,1,North,Stop,Stop,Stop,12,12,12,12,1,6,665,664,West
36,20,13,12,9,West,Stop,East,None,South,West,4,False,True,False,False,False,5,4,3,1,5,1,7,1,West,Stop,Stop,Stop,12,12,12,12,1,5,664,663,West
38,20,13,10,9,West,Stop,East,North,South,West,4,False,True,False,False,False,4,3,3,1,5,1,7,1,South,Stop,Stop,Stop,12,12,12,12,1,3,662,661,South
39,20,13,10,8,West,Stop,None,North,South,South,4,False,True,False,False,False,4,3,3,1,5,1,7,1,South,Stop,Stop,Stop,11,11,11,11,1,2,661,660,South
40,20,13,10,7,West,Stop,None,North,South,South,4,False,True,False,False,False,4,3,3,1,5,1,7,1,South,Stop,Stop,Stop,10,10,10,10,1,1,660,759,South
41,20,13,10,6,West,Stop,None,North,South,South,4,False,True,False,False,False,3,3,3,1,5,1,7,1,West,Stop,Stop,Stop,10,10,10,10,0,-1,759,758,South
42,20,13,10,5,West,Stop,East,North,South,South,4,False,True,False,False,False,3,4,3,1,5,1,7,1,North,Stop,Stop,Stop,8,8,8,8,0,-1,758,757,West
43,20,13,9,5,West,Stop,East,North,South,West,4,False,True,False,False,False,3,3,3,1,5,1,7,1,South,Stop,Stop,Stop,8,8,8,8,0,-1,757,756,West
44,20,13,8,5,West,Stop,East,North,South,West,4,False,True,False,False,False,3,3,3,1,5,1,7,1,South,Stop,Stop,Stop,7,7,7,7,0,-1,756,755,West
45,20,13,7,5,West,Stop,East,None,South,West,4,False,True,False,False,False,4,3,3,1,5,1,7,1,East,Stop,Stop,Stop,5,5,5,5,0,-1,755,754,West
46,20,13,6,5,West,Stop,East,None,South,West,4,False,True,False,False,False,5,3,3,1,5,1,7,1,East,Stop,Stop,Stop,3,3,3,3,0,-1,754,753,West
47,20,13,5,5,West,Stop,East,None,South,West,4,False,True,False,False,False,4,3,3,1,5,1,7,1,West,Stop,Stop,Stop,3,3,3,3,0,-1,753,752,South
48,20,13,5,4,West,Stop,East,North,South,South,4,False,True,False,False,False,3,3,3,1,5,1,7,1,West,Stop,Stop,Stop,3,3,3,3,0,-1,752,751,West
49,20,13,4,4,West,Stop,East,North,South,West,4,False,True,False,False,False,3,3,3,1,5,1,7,1,West,Stop,Stop,Stop,2,2,2,2,0,-1,751,750,West
50,20,13,3,4,West,Stop,East,North,South,West,4,False,True,False,False,False,3,3,3,1,5,1,7,1,West,Stop,Stop,Stop,1,1,1,1,0,-1,750,749,South
7,16,5,1,3,None,Stop,East,None,South,West,4,False,True,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,1,1,1,1,2,2,-7,192,South
8,16,5,1,2,None,Stop,None,North,South,South,4,False,False,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,2,1,192,491,South
18,16,5,9,2,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1782,1781,North
19,16,5,9,3,West,Stop,East,None,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1781,1780,East
24,16,5,14,3,West,Stop,None,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1776,1975,South
5,16,5,1,3,None,Stop,East,None,South,West,4,False,True,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,1,1,1,1,2,2,-5,194,South
6,16,5,1,2,None,Stop,None,North,South,South,4,False,False,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,2,1,194,493,South
16,16,5,9,2,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1784,1783,North
17,16,5,9,3,West,Stop,East,None,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1783,1782,East
22,16,5,14,3,West,Stop,None,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1778,1977,South
5,16,5,1,3,None,Stop,East,None,South,West,4,False,True,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,1,1,1,1,2,2,-5,194,South
6,16,5,1,2,None,Stop,None,North,South,South,4,False,False,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,2,1,194,493,South
16,16,5,9,2,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1784,1783,North
17,16,5,9,3,West,Stop,East,None,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1783,1782,East
22,16,5,14,3,West,Stop,None,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1778,1977,South
4,22,18,11,5,West,Stop,East,North,South,West,4,False,True,True,True,True,3,4,6,14,15,16,19,3,South,West,East,South,9,9,9,9,12,2,-4,-5,North
5,22,18,11,6,West,Stop,East,North,South,North,4,False,True,True,True,True,3,4,6,14,15,15,19,4,South,West,South,North,10,10,10,10,12,1,-5,94,North
6,22,18,11,7,West,Stop,East,North,South,North,4,False,True,True,True,True,3,5,5,14,15,16,18,4,North,West,North,West,10,10,10,10,11,1,94,193,North
7,22,18,11,8,West,Stop,East,North,South,North,4,False,True,True,True,True,3,5,6,14,14,16,18,3,North,East,West,South,11,11,11,11,10,1,193,292,North
8,22,18,11,9,West,Stop,East,North,South,North,4,False,True,True,True,True,3,5,7,14,14,15,17,3,North,East,South,West,12,12,12,12,9,1,292,391,North
9,22,18,11,10,West,Stop,East,North,South,North,4,False,True,True,True,True,4,5,6,14,14,16,17,3,East,West,North,West,12,12,12,12,8,1,391,490,North
10,22,18,11,11,West,Stop,East,North,South,North,4,False,True,True,True,True,3,5,6,15,14,15,18,3,West,North,South,East,14,14,14,14,7,1,490,589,North
11,22,18,11,12,West,Stop,East,None,South,North,4,False,True,True,True,True,3,4,6,16,14,16,17,3,South,North,North,West,16,16,16,16,6,1,589,688,West
12,22,18,10,12,West,Stop,East,None,South,West,4,False,True,True,True,True,3,5,7,16,14,15,16,3,North,East,South,West,14,14,14,14,5,1,688,687,West
13,22,18,9,12,West,Stop,East,North,South,West,4,False,True,True,True,True,2,5,7,15,13,15,15,3,West,South,West,West,14,14,14,14,5,2,687,686,North
14,22,18,9,13,None,Stop,None,North,South,North,4,False,True,True,True,True,2,6,7,16,14,15,15,3,North,North,East,West,14,14,14,14,5,3,686,685,North
15,22,18,9,14,None,Stop,East,None,South,North,4,False,True,True,True,True,2,7,8,16,13,15,16,3,North,East,West,East,14,14,14,14,5,4,685,684,East
